"","BEGIN_YEARMONTH","BEGIN_DAY","BEGIN_TIME","BEGIN_DATE_TIME","CZ_TIMEZONE","YEAR","STATE","Code","EVENT_TYPE","CZ_NAME","TOR_F_SCALE","BEGIN_LAT","BEGIN_LON","timestamp","avg_estimated_wind","F_scale"
"33",195105,15,1830,"15-MAY-51 18:30:00","CST",1951,"TEXAS","TX","TORNADO","CASTRO","F1",34.5,-102.3,1951-05-15 18:30:00,92.5,"F1, 73-112 mph"
"34",195105,18,1545,"18-MAY-51 15:45:00","CST",1951,"TEXAS","TX","TORNADO","YOUNG","F4",33.42,-98.75,1951-05-18 15:45:00,233.5,"F4, 207-260 mph"
"35",195105,24,1700,"24-MAY-51 17:00:00","CST",1951,"TEXAS","TX","TORNADO","HASKELL","F1",33.37,-99.9,1951-05-24 17:00:00,92.5,"F1, 73-112 mph"
"36",195204,30,1830,"30-APR-52 18:30:00","CST",1952,"TEXAS","TX","TORNADO","TOM GREEN","F3",31.45,-100.47,1952-04-30 18:30:00,182,"F3, 158-206 mph"
"37",195205,23,1140,"23-MAY-52 11:40:00","CST",1952,"TEXAS","TX","TORNADO","HENDERSON","F0",32.22,-95.62,1952-05-23 11:40:00,56,"F0, 40-72 mph"
"38",195205,23,1430,"23-MAY-52 14:30:00","CST",1952,"TEXAS","TX","TORNADO","TOM GREEN","F1",31.45,-100.48,1952-05-23 14:30:00,92.5,"F1, 73-112 mph"
"39",195208,12,1615,"12-AUG-52 16:15:00","CST",1952,"TEXAS","TX","TORNADO","YOUNG","F1",33.12,-98.6,1952-08-12 16:15:00,92.5,"F1, 73-112 mph"
"40",195212,3,1815,"03-DEC-52 18:15:00","CST",1952,"TEXAS","TX","TORNADO","TRINITY","F2",30.9,-95.3,1952-12-03 18:15:00,13,"F2, 113-157 mph"
"41",195202,1,1500,"01-FEB-52 15:00:00","CST",1952,"TEXAS","TX","TORNADO","ORANGE","F2",30.08,-93.77,1952-02-01 15:00:00,13,"F2, 113-157 mph"
"42",195203,2,2200,"02-MAR-52 22:00:00","CST",1952,"TEXAS","TX","TORNADO","DALLAS","F0",32.97,-96.58,1952-03-02 22:00:00,56,"F0, 40-72 mph"
"43",195203,17,1930,"17-MAR-52 19:30:00","CST",1952,"TEXAS","TX","TORNADO","WICHITA","F1",33.88,-98.58,1952-03-17 19:30:00,92.5,"F1, 73-112 mph"
"44",195203,17,2000,"17-MAR-52 20:00:00","CST",1952,"TEXAS","TX","TORNADO","PALO PINTO","F0",32.92,-98.25,1952-03-17 20:00:00,56,"F0, 40-72 mph"
"45",195204,3,1800,"03-APR-52 18:00:00","CST",1952,"TEXAS","TX","TORNADO","GRAYSON","F2",33.6,-96.7,1952-04-03 18:00:00,13,"F2, 113-157 mph"
"46",195204,18,1415,"18-APR-52 14:15:00","CST",1952,"TEXAS","TX","TORNADO","HENDERSON","F1",32.22,-95.85,1952-04-18 14:15:00,92.5,"F1, 73-112 mph"
"47",195204,21,1215,"21-APR-52 12:15:00","CST",1952,"TEXAS","TX","TORNADO","MCLENNAN","F4",31.5,-97.45,1952-04-21 12:15:00,233.5,"F4, 207-260 mph"
"48",195206,5,1230,"05-JUN-52 12:30:00","CST",1952,"TEXAS","TX","TORNADO","GRAYSON","F1",33.65,-96.75,1952-06-05 12:30:00,92.5,"F1, 73-112 mph"
"49",195302,19,1500,"19-FEB-53 15:00:00","CST",1953,"TEXAS","TX","TORNADO","RUSK","FX",32.1,-94.6,1953-02-19 15:00:00,56,"F?"
"50",195306,5,1330,"05-JUN-53 13:30:00","CST",1953,"TEXAS","TX","TORNADO","COLLINGSWORTH","F0",34.85,-100.22,1953-06-05 13:30:00,56,"F0, 40-72 mph"
"51",195306,19,1730,"19-JUN-53 17:30:00","CST",1953,"TEXAS","TX","TORNADO","WICHITA","F1",34,-98.5,1953-06-19 17:30:00,92.5,"F1, 73-112 mph"
"52",195307,15,1330,"15-JUL-53 13:30:00","CST",1953,"TEXAS","TX","TORNADO","CAMERON","F1",26.25,-97.73,1953-07-15 13:30:00,92.5,"F1, 73-112 mph"
"53",195307,15,1730,"15-JUL-53 17:30:00","CST",1953,"TEXAS","TX","TORNADO","COKE","F2",31.9,-100.63,1953-07-15 17:30:00,13,"F2, 113-157 mph"
"54",195307,28,1015,"28-JUL-53 10:15:00","CST",1953,"TEXAS","TX","TORNADO","NUECES","F0",27.77,-97.42,1953-07-28 10:15:00,56,"F0, 40-72 mph"
"55",195308,11,1745,"11-AUG-53 17:45:00","CST",1953,"TEXAS","TX","TORNADO","KNOX","F0",33.42,-99.8,1953-08-11 17:45:00,56,"F0, 40-72 mph"
"56",195308,11,1900,"11-AUG-53 19:00:00","CST",1953,"TEXAS","TX","TORNADO","WICHITA","F2",33.93,-98.5,1953-08-11 19:00:00,13,"F2, 113-157 mph"
"57",195308,15,1450,"15-AUG-53 14:50:00","CST",1953,"TEXAS","TX","TORNADO","HARRIS","F1",29.73,-94.98,1953-08-15 14:50:00,92.5,"F1, 73-112 mph"
"58",195308,31,2025,"31-AUG-53 20:25:00","CST",1953,"TEXAS","TX","TORNADO","NUECES","F0",27.73,-97.83,1953-08-31 20:25:00,56,"F0, 40-72 mph"
"59",195308,31,2055,"31-AUG-53 20:55:00","CST",1953,"TEXAS","TX","TORNADO","KIMBLE","F0",30.48,-99.77,1953-08-31 20:55:00,56,"F0, 40-72 mph"
"60",195310,23,100,"23-OCT-53 01:00:00","CST",1953,"TEXAS","TX","TORNADO","TRAVIS","F1",30.3,-97.78,1953-10-23 01:00:00,92.5,"F1, 73-112 mph"
"61",195310,23,1515,"23-OCT-53 15:15:00","CST",1953,"TEXAS","TX","TORNADO","NUECES","F2",27.83,-97.07,1953-10-23 15:15:00,13,"F2, 113-157 mph"
"62",195311,19,1250,"19-NOV-53 12:50:00","CST",1953,"TEXAS","TX","TORNADO","ANDERSON","F2",31.77,-95.72,1953-11-19 12:50:00,13,"F2, 113-157 mph"
"63",195312,1,1900,"01-DEC-53 19:00:00","CST",1953,"TEXAS","TX","TORNADO","GUADALUPE","F3",29.5,-97.93,1953-12-01 19:00:00,182,"F3, 158-206 mph"
"64",195312,2,615,"02-DEC-53 06:15:00","CST",1953,"TEXAS","TX","TORNADO","LEE","F3",30.5,-96.97,1953-12-02 06:15:00,182,"F3, 158-206 mph"
"65",195312,2,1030,"02-DEC-53 10:30:00","CST",1953,"TEXAS","TX","TORNADO","WHARTON","F2",29.2,-96.03,1953-12-02 10:30:00,13,"F2, 113-157 mph"
"66",195312,2,1335,"02-DEC-53 13:35:00","CST",1953,"TEXAS","TX","TORNADO","WASHINGTON","F2",30.37,-96.18,1953-12-02 13:35:00,13,"F2, 113-157 mph"
"67",195312,2,1445,"02-DEC-53 14:45:00","CST",1953,"TEXAS","TX","TORNADO","ANGELINA","F1",31.43,-94.9,1953-12-02 14:45:00,92.5,"F1, 73-112 mph"
"68",195312,2,1530,"02-DEC-53 15:30:00","CST",1953,"TEXAS","TX","TORNADO","BRAZOS","F2",30.63,-96.48,1953-12-02 15:30:00,13,"F2, 113-157 mph"
"69",195302,19,1730,"19-FEB-53 17:30:00","CST",1953,"TEXAS","TX","TORNADO","NACOGDOCHES","FX",31.72,-94.83,1953-02-19 17:30:00,56,"F?"
"70",195303,12,1630,"12-MAR-53 16:30:00","CST",1953,"TEXAS","TX","TORNADO","PANOLA","F2",32.17,-94.33,1953-03-12 16:30:00,13,"F2, 113-157 mph"
"71",195303,13,1400,"13-MAR-53 14:00:00","CST",1953,"TEXAS","TX","TORNADO","HASKELL","F4",33.28,-99.95,1953-03-13 14:00:00,233.5,"F4, 207-260 mph"
"72",195303,13,1415,"13-MAR-53 14:15:00","CST",1953,"TEXAS","TX","TORNADO","KNOX","F4",33.4,-99.82,1953-03-13 14:15:00,233.5,"F4, 207-260 mph"
"73",195304,28,1815,"28-APR-53 18:15:00","CST",1953,"TEXAS","TX","TORNADO","BASTROP","F3",30,-97.17,1953-04-28 18:15:00,182,"F3, 158-206 mph"
"74",195304,28,2045,"28-APR-53 20:45:00","CST",1953,"TEXAS","TX","TORNADO","HAYS","F3",29.55,-98.53,1953-04-28 20:45:00,182,"F3, 158-206 mph"
"75",195304,28,2100,"28-APR-53 21:00:00","CST",1953,"TEXAS","TX","TORNADO","BEXAR","F4",29.57,-98.7,1953-04-28 21:00:00,233.5,"F4, 207-260 mph"
"76",195305,11,1415,"11-MAY-53 14:15:00","CST",1953,"TEXAS","TX","TORNADO","TOM GREEN","F4",31.53,-100.58,1953-05-11 14:15:00,233.5,"F4, 207-260 mph"
